championnat,saison,equipe
Ligue des champions,2012-2013,Galatasaray
Ligue des champions,2012-2013,Sporting Braga
Ligue des champions,2012-2013,CFR Cluj
Ligue des champions,2013-2014,Man United
Ligue des champions,2013-2014,Leverkusen
Ligue des champions,2013-2014,Sociedad
Ligue des champions,2013-2014,Shakhtar Donetsk
Ligue des champions,2013-2014,Galatasaray
Ligue des champions,2013-2014,Real Madrid
Ligue des champions,2013-2014,Copenhagen
Ligue des champions,2013-2014,Juventus
Ligue des champions,2013-2014,Olympiakos Piraeus
Ligue des champions,2013-2014,Paris SG
Ligue des champions,2013-2014,Benfica
Ligue des champions,2013-2014,RSC Anderlecht
Ligue des champions,2013-2014,Bayern Munich
Ligue des champions,2013-2014,CSKA Moskva
Ligue des champions,2013-2014,Viktoria Plzeň
Ligue des champions,2013-2014,Man City
Ligue des champions,2013-2014,Chelsea
Ligue des champions,2013-2014,FC Basel 1893
Ligue des champions,2013-2014,Schalke 04
Ligue des champions,2013-2014,FC Steaua Bucureşti
Ligue des champions,2013-2014,Olympique Marseille
Ligue des champions,2013-2014,Arsenal
Ligue des champions,2013-2014,Napoli
Ligue des champions,2013-2014,Dortmund
Ligue des champions,2013-2014,Ath Madrid
Ligue des champions,2013-2014,Zenit St. Petersburg
Ligue des champions,2013-2014,Austria Wien
Ligue des champions,2013-2014,FC Porto
Ligue des champions,2013-2014,Barcelona
Ligue des champions,2013-2014,Ajax
Ligue des champions,2013-2014,Milan
Ligue des champions,2013-2014,Celtic FC
Ligue des champions,2014-2015,Olympiakos Piraeus
Ligue des champions,2014-2015,Ath Madrid
Ligue des champions,2014-2015,Juventus
Ligue des champions,2014-2015,Malmö FF
Ligue des champions,2014-2015,Real Madrid
Ligue des champions,2014-2015,FC Basel 1893
Ligue des champions,2014-2015,Liverpool
Ligue des champions,2014-2015,PFC Ludogorets Razgrad
Ligue des champions,2014-2015,Monaco
Ligue des champions,2014-2015,Leverkusen
Ligue des champions,2014-2015,Benfica
Ligue des champions,2014-2015,Zenit St. Petersburg
Ligue des champions,2014-2015,Dortmund
Ligue des champions,2014-2015,Arsenal
Ligue des champions,2014-2015,Galatasaray
Ligue des champions,2014-2015,RSC Anderlecht
Ligue des champions,2014-2015,Roma
Ligue des champions,2014-2015,CSKA Moskva
Ligue des champions,2014-2015,Bayern Munich
Ligue des champions,2014-2015,Man City
Ligue des champions,2014-2015,Ajax
Ligue des champions,2014-2015,Paris SG
Ligue des champions,2014-2015,Barcelona
Ligue des champions,2014-2015,APOEL Nikosia
Ligue des champions,2014-2015,Chelsea
Ligue des champions,2014-2015,Schalke 04
Ligue des champions,2014-2015,NK Maribor
Ligue des champions,2014-2015,Sporting
Ligue des champions,2014-2015,Ath Bilbao
Ligue des champions,2014-2015,Shakhtar Donetsk
Ligue des champions,2014-2015,FC Porto
Ligue des champions,2014-2015,BATE Borisov
Ligue des champions,2015-2016,Real Madrid
Ligue des champions,2015-2016,Shakhtar Donetsk
Ligue des champions,2015-2016,Paris SG
Ligue des champions,2015-2016,Malmö FF
Ligue des champions,2015-2016,VfL Wolfsburg
Ligue des champions,2015-2016,CSKA Moskva
Ligue des champions,2015-2016,PSV
Ligue des champions,2015-2016,Man United
Ligue des champions,2015-2016,Benfica
Ligue des champions,2015-2016,FK Astana
Ligue des champions,2015-2016,Galatasaray
Ligue des champions,2015-2016,Ath Madrid
Ligue des champions,2015-2016,Sevilla
Ligue des champions,2015-2016,Bor. Mönchengladbach
Ligue des champions,2015-2016,Man City
Ligue des champions,2015-2016,Juventus
Ligue des champions,2015-2016,Roma
Ligue des champions,2015-2016,Barcelona
Ligue des champions,2015-2016,Leverkusen
Ligue des champions,2015-2016,BATE Borisov
Ligue des champions,2015-2016,Olympiakos Piraeus
Ligue des champions,2015-2016,Bayern Munich
Ligue des champions,2015-2016,Dinamo Zagreb
Ligue des champions,2015-2016,Arsenal
Ligue des champions,2015-2016,Dinamo Kiev
Ligue des champions,2015-2016,FC Porto
Ligue des champions,2015-2016,Chelsea
Ligue des champions,2015-2016,Maccabi Tel Aviv
Ligue des champions,2015-2016,Valencia
Ligue des champions,2015-2016,Zenit St. Petersburg
Ligue des champions,2015-2016,KAA Gent
Ligue des champions,2015-2016,Lyon
Ligue des champions,2016-2017,FC Basel 1893
Ligue des champions,2016-2017,PFC Ludogorets Razgrad
Ligue des champions,2016-2017,Paris SG
Ligue des champions,2016-2017,Arsenal
Ligue des champions,2016-2017,Dinamo Kiev
Ligue des champions,2016-2017,Napoli
Ligue des champions,2016-2017,Benfica
Ligue des champions,2016-2017,Beşiktaş
Ligue des champions,2016-2017,Barcelona
Ligue des champions,2016-2017,Celtic FC
Ligue des champions,2016-2017,Man City
Ligue des champions,2016-2017,Bor. Mönchengladbach
Ligue des champions,2016-2017,Bayern Munich
Ligue des champions,2016-2017,FK Rostov
Ligue des champions,2016-2017,PSV
Ligue des champions,2016-2017,Ath Madrid
Ligue des champions,2016-2017,Leverkusen
Ligue des champions,2016-2017,CSKA Moskva
Ligue des champions,2016-2017,Tottenham
Ligue des champions,2016-2017,Monaco
Ligue des champions,2016-2017,Legia Warszawa
Ligue des champions,2016-2017,Dortmund
Ligue des champions,2016-2017,Real Madrid
Ligue des champions,2016-2017,Sporting
Ligue des champions,2016-2017,Club Brugge
Ligue des champions,2016-2017,Leicester City
Ligue des champions,2016-2017,FC Porto
Ligue des champions,2016-2017,Copenhagen
Ligue des champions,2016-2017,Juventus
Ligue des champions,2016-2017,Sevilla
Ligue des champions,2016-2017,Lyon
Ligue des champions,2016-2017,Dinamo Zagreb
Ligue des champions,2017-2018,Man United
Ligue des champions,2017-2018,FC Basel 1893
Ligue des champions,2017-2018,Benfica
Ligue des champions,2017-2018,CSKA Moskva
Ligue des champions,2017-2018,Bayern Munich
Ligue des champions,2017-2018,RSC Anderlecht
Ligue des champions,2017-2018,Celtic FC
Ligue des champions,2017-2018,Paris SG
Ligue des champions,2017-2018,Roma
Ligue des champions,2017-2018,Ath Madrid
Ligue des champions,2017-2018,Chelsea
Ligue des champions,2017-2018,Qarabag
Ligue des champions,2017-2018,Barcelona
Ligue des champions,2017-2018,Juventus
Ligue des champions,2017-2018,Olympiakos Piraeus
Ligue des champions,2017-2018,Sporting
Ligue des champions,2017-2018,Liverpool
Ligue des champions,2017-2018,Sevilla
Ligue des champions,2017-2018,NK Maribor
Ligue des champions,2017-2018,Spartak Moskva
Ligue des champions,2017-2018,Shakhtar Donetsk
Ligue des champions,2017-2018,Napoli
Ligue des champions,2017-2018,Feyenoord
Ligue des champions,2017-2018,Man City
Ligue des champions,2017-2018,FC Porto
Ligue des champions,2017-2018,Beşiktaş
Ligue des champions,2017-2018,RB Leipzig
Ligue des champions,2017-2018,Monaco
Ligue des champions,2017-2018,Tottenham
Ligue des champions,2017-2018,Dortmund
Ligue des champions,2017-2018,Real Madrid
Ligue des champions,2017-2018,APOEL Nikosia
Ligue des champions,2018-2019,Monaco
Ligue des champions,2018-2019,Ath Madrid
Ligue des champions,2018-2019,Club Brugge
Ligue des champions,2018-2019,Dortmund
Ligue des champions,2018-2019,Barcelona
Ligue des champions,2018-2019,PSV
Ligue des champions,2018-2019,Inter
Ligue des champions,2018-2019,Tottenham
Ligue des champions,2018-2019,Liverpool
Ligue des champions,2018-2019,Paris SG
Ligue des champions,2018-2019,Crvena Zvezda
Ligue des champions,2018-2019,Napoli
Ligue des champions,2018-2019,Schalke 04
Ligue des champions,2018-2019,FC Porto
Ligue des champions,2018-2019,Galatasaray
Ligue des champions,2018-2019,Lokomotiv Moskva
Ligue des champions,2018-2019,Ajax
Ligue des champions,2018-2019,AEK Athen
Ligue des champions,2018-2019,Benfica
Ligue des champions,2018-2019,Bayern Munich
Ligue des champions,2018-2019,Shakhtar Donetsk
Ligue des champions,2018-2019,1899 Hoffenheim
Ligue des champions,2018-2019,Man City
Ligue des champions,2018-2019,Lyon
Ligue des champions,2018-2019,Real Madrid
Ligue des champions,2018-2019,Roma
Ligue des champions,2018-2019,Viktoria Plzeň
Ligue des champions,2018-2019,CSKA Moskva
Ligue des champions,2018-2019,Valencia
Ligue des champions,2018-2019,Juventus
Ligue des champions,2018-2019,BSC Young Boys
Ligue des champions,2018-2019,Man United
Ligue des champions,2019-2020,Club Brugge
Ligue des champions,2019-2020,Galatasaray
Ligue des champions,2019-2020,Paris SG
Ligue des champions,2019-2020,Real Madrid
Ligue des champions,2019-2020,Olympiakos Piraeus
Ligue des champions,2019-2020,Tottenham
Ligue des champions,2019-2020,Bayern Munich
Ligue des champions,2019-2020,Crvena Zvezda
Ligue des champions,2019-2020,Shakhtar Donetsk
Ligue des champions,2019-2020,Man City
Ligue des champions,2019-2020,Dinamo Zagreb
Ligue des champions,2019-2020,Atalanta
Ligue des champions,2019-2020,Ath Madrid
Ligue des champions,2019-2020,Juventus
Ligue des champions,2019-2020,Leverkusen
Ligue des champions,2019-2020,Lokomotiv Moskva
Ligue des champions,2019-2020,Napoli
Ligue des champions,2019-2020,Liverpool
Ligue des champions,2019-2020,RB Salzburg
Ligue des champions,2019-2020,KRC Genk
Ligue des champions,2019-2020,Inter
Ligue des champions,2019-2020,Slavia Prague
Ligue des champions,2019-2020,Dortmund
Ligue des champions,2019-2020,Barcelona
Ligue des champions,2019-2020,Lyon
Ligue des champions,2019-2020,Zenit St. Petersburg
Ligue des champions,2019-2020,Benfica
Ligue des champions,2019-2020,RB Leipzig
Ligue des champions,2019-2020,Chelsea
Ligue des champions,2019-2020,Valencia
Ligue des champions,2019-2020,Ajax
Ligue des champions,2019-2020,Lille
Ligue des champions,2020-2021,RB Salzburg
Ligue des champions,2020-2021,Lokomotiv Moskva
Ligue des champions,2020-2021,Bayern Munich
Ligue des champions,2020-2021,Ath Madrid
Ligue des champions,2020-2021,Real Madrid
Ligue des champions,2020-2021,Shakhtar Donetsk
Ligue des champions,2020-2021,Inter
Ligue des champions,2020-2021,Bor. Mönchengladbach
Ligue des champions,2020-2021,Man City
Ligue des champions,2020-2021,FC Porto
Ligue des champions,2020-2021,Olympiakos Piraeus
Ligue des champions,2020-2021,Olympique Marseille
Ligue des champions,2020-2021,Ajax
Ligue des champions,2020-2021,Liverpool
Ligue des champions,2020-2021,FC Midtjylland
Ligue des champions,2020-2021,Atalanta
Ligue des champions,2020-2021,Chelsea
Ligue des champions,2020-2021,Sevilla
Ligue des champions,2020-2021,Stade Rennais
Ligue des champions,2020-2021,FK Krasnodar
Ligue des champions,2020-2021,Zenit St. Petersburg
Ligue des champions,2020-2021,Club Brugge
Ligue des champions,2020-2021,Lazio Roma
Ligue des champions,2020-2021,Dortmund
Ligue des champions,2020-2021,Dinamo Kiev
Ligue des champions,2020-2021,Juventus
Ligue des champions,2020-2021,Barcelona
Ligue des champions,2020-2021,Ferencvárosi TC
Ligue des champions,2020-2021,RB Leipzig
Ligue des champions,2020-2021,İstanbul Başakşehir
Ligue des champions,2020-2021,Paris SG
Ligue des champions,2020-2021,Man United
Ligue des champions,2021-2022,Man City
Ligue des champions,2021-2022,RB Leipzig
Ligue des champions,2021-2022,Club Brugge
Ligue des champions,2021-2022,Paris SG
Ligue des champions,2021-2022,Ath Madrid
Ligue des champions,2021-2022,FC Porto
Ligue des champions,2021-2022,Liverpool
Ligue des champions,2021-2022,Milan
Ligue des champions,2021-2022,Beşiktaş
Ligue des champions,2021-2022,Dortmund
Ligue des champions,2021-2022,Sporting
Ligue des champions,2021-2022,Ajax
Ligue des champions,2021-2022,FC Sheriff
Ligue des champions,2021-2022,Shakhtar Donetsk
Ligue des champions,2021-2022,Inter
Ligue des champions,2021-2022,Real Madrid
Ligue des champions,2021-2022,Barcelona
Ligue des champions,2021-2022,Bayern Munich
Ligue des champions,2021-2022,Dinamo Kiev
Ligue des champions,2021-2022,Benfica
Ligue des champions,2021-2022,BSC Young Boys
Ligue des champions,2021-2022,Man United
Ligue des champions,2021-2022,Villarreal
Ligue des champions,2021-2022,Atalanta
Ligue des champions,2021-2022,Sevilla
Ligue des champions,2021-2022,RB Salzburg
Ligue des champions,2021-2022,Lille
Ligue des champions,2021-2022,VfL Wolfsburg
Ligue des champions,2021-2022,Chelsea
Ligue des champions,2021-2022,Zenit St. Petersburg
Ligue des champions,2021-2022,Malmö FF
Ligue des champions,2021-2022,Juventus
Ligue des champions,2022-2023,Ajax
Ligue des champions,2022-2023,Rangers FC
Ligue des champions,2022-2023,Napoli
Ligue des champions,2022-2023,Liverpool
Ligue des champions,2022-2023,Ath Madrid
Ligue des champions,2022-2023,FC Porto
Ligue des champions,2022-2023,Club Brugge
Ligue des champions,2022-2023,Leverkusen
Ligue des champions,2022-2023,Inter
Ligue des champions,2022-2023,Bayern Munich
Ligue des champions,2022-2023,Barcelona
Ligue des champions,2022-2023,Viktoria Plzeň
Ligue des champions,2022-2023,Ein Frankfurt
Ligue des champions,2022-2023,Sporting
Ligue des champions,2022-2023,Tottenham
Ligue des champions,2022-2023,Olympique Marseille
Ligue des champions,2022-2023,Dinamo Zagreb
Ligue des champions,2022-2023,Chelsea
Ligue des champions,2022-2023,RB Salzburg
Ligue des champions,2022-2023,Milan
Ligue des champions,2022-2023,Celtic FC
Ligue des champions,2022-2023,Real Madrid
Ligue des champions,2022-2023,RB Leipzig
Ligue des champions,2022-2023,Shakhtar Donetsk
Ligue des champions,2022-2023,Dortmund
Ligue des champions,2022-2023,Copenhagen
Ligue des champions,2022-2023,Sevilla
Ligue des champions,2022-2023,Man City
Ligue des champions,2022-2023,Paris SG
Ligue des champions,2022-2023,Juventus
Ligue des champions,2022-2023,Benfica
Ligue des champions,2022-2023,Maccabi Haifa
Ligue des champions,2023-2024,Milan
Ligue des champions,2023-2024,Newcastle
Ligue des champions,2023-2024,BSC Young Boys
Ligue des champions,2023-2024,RB Leipzig
Ligue des champions,2023-2024,Lazio
Ligue des champions,2023-2024,Ath Madrid
Ligue des champions,2023-2024,Feyenoord Rotterdam
Ligue des champions,2023-2024,Celtic FC
Ligue des champions,2023-2024,Paris SG
Ligue des champions,2023-2024,Dortmund
Ligue des champions,2023-2024,Man City
Ligue des champions,2023-2024,FK Crvena Zvezda
Ligue des champions,2023-2024,Barcelona
Ligue des champions,2023-2024,Royal Antwerp FC
Ligue des champions,2023-2024,FK Shakhtar Donetsk
Ligue des champions,2023-2024,FC Porto
Ligue des champions,2023-2024,Real Madrid
Ligue des champions,2023-2024,Union Berlin
Ligue des champions,2023-2024,Galatasaray
Ligue des champions,2023-2024,Copenhagen
Ligue des champions,2023-2024,Sevilla
Ligue des champions,2023-2024,Lens
Ligue des champions,2023-2024,Sporting Clube de Braga
Ligue des champions,2023-2024,Napoli
Ligue des champions,2023-2024,Real Sociedad de Fútbol
Ligue des champions,2023-2024,Inter
Ligue des champions,2023-2024,Benfica
Ligue des champions,2023-2024,FC Red Bull Salzburg
Ligue des champions,2023-2024,Bayern Munich
Ligue des champions,2023-2024,Man United
Ligue des champions,2023-2024,Arsenal
Ligue des champions,2023-2024,PSV
Ligue des champions,2024-2025,BSC Young Boys
Ligue des champions,2024-2025,Aston Villa
Ligue des champions,2024-2025,Juventus
Ligue des champions,2024-2025,PSV
Ligue des champions,2024-2025,Sporting
Ligue des champions,2024-2025,Lille
Ligue des champions,2024-2025,Bayern Munich
Ligue des champions,2024-2025,GNK Dinamo Zagreb
Ligue des champions,2024-2025,Real Madrid
Ligue des champions,2024-2025,Stuttgart
Ligue des champions,2024-2025,Milan
Ligue des champions,2024-2025,Liverpool
Ligue des champions,2024-2025,Bologna
Ligue des champions,2024-2025,FK Shakhtar Donetsk
Ligue des champions,2024-2025,AC Sparta Praha
Ligue des champions,2024-2025,FC Red Bull Salzburg
Ligue des champions,2024-2025,Man City
Ligue des champions,2024-2025,Inter
Ligue des champions,2024-2025,Paris SG
Ligue des champions,2024-2025,Girona
Ligue des champions,2024-2025,Club Brugge
Ligue des champions,2024-2025,Dortmund
Ligue des champions,2024-2025,Celtic FC
Ligue des champions,2024-2025,ŠK Slovan Bratislava
Ligue des champions,2024-2025,Feyenoord Rotterdam
Ligue des champions,2024-2025,Leverkusen
Ligue des champions,2024-2025,FK Crvena Zvezda
Ligue des champions,2024-2025,Benfica
Ligue des champions,2024-2025,Monaco
Ligue des champions,2024-2025,Barcelona
Ligue des champions,2024-2025,Brest
Ligue des champions,2024-2025,SK Sturm Graz
Ligue des champions,2024-2025,Atalanta
Ligue des champions,2024-2025,Arsenal
Ligue des champions,2024-2025,Ath Madrid
Ligue des champions,2024-2025,RB Leipzig
Ligue des champions,2024-2025,FK Panevėžys
Ligue des champions,2024-2025,HJK Helsinki
Ligue des champions,2024-2025,Hamrun Spartans
Ligue des champions,2024-2025,Lincoln Red Imps
Ligue des champions,2024-2025,The New Saints
Ligue des champions,2024-2025,FK Dečić Tuzi
Ligue des champions,2024-2025,UE Santa Coloma
Ligue des champions,2024-2025,KF Ballkani
Ligue des champions,2024-2025,Víkingur Reykjavík
Ligue des champions,2024-2025,Shamrock Rovers
Ligue des champions,2024-2025,SS Virtus
Ligue des champions,2024-2025,FCSB
Ligue des champions,2024-2025,FK Ordabasy
Ligue des champions,2024-2025,CS Petrocub
Ligue des champions,2024-2025,FC Flora
Ligue des champions,2024-2025,NK Celje
Ligue des champions,2024-2025,Slovan Bratislava
Ligue des champions,2024-2025,FC Struga
Ligue des champions,2024-2025,FK RFS
Ligue des champions,2024-2025,Larne FC
Ligue des champions,2024-2025,KÍ Klaksvík
Ligue des champions,2024-2025,FC Differdange 03
Ligue des champions,2024-2025,PFC Ludogorets Razgrad
Ligue des champions,2024-2025,Dinamo Batumi
Ligue des champions,2024-2025,Dinamo Minsk
Ligue des champions,2024-2025,Pyunik FC
Ligue des champions,2024-2025,Borac Banja Luka
Ligue des champions,2024-2025,Egnatia Rrogozhine
Ligue des champions,2024-2025,Bodo/Glimt
Ligue des champions,2024-2025,Jagiellonia Białystok
Ligue des champions,2024-2025,Qarabag
Ligue des champions,2024-2025,APOEL Nikosia
Ligue des champions,2024-2025,Malmö FF
Ligue des champions,2024-2025,Maccabi Tel Aviv
Ligue des champions,2024-2025,Ferencvárosi TC
Ligue des champions,2024-2025,FC Midtjylland
Ligue des champions,2024-2025,Dinamo Kiev
Ligue des champions,2024-2025,Partizan
Ligue des champions,2024-2025,FC Lugano
Ligue des champions,2024-2025,Fenerbahçe
Ligue des champions,2024-2025,PAOK Saloniki
Ligue des champions,2024-2025,Rangers FC
Ligue des champions,2024-2025,RB Salzburg
Ligue des champions,2024-2025,FC Twente
Ligue des champions,2024-2025,Slavia Prague
Ligue des champions,2024-2025,Union SG
Ligue des champions,2024-2025,Dinamo Zagreb
Ligue des champions,2024-2025,Crvena Zvezda
Ligue des champions,2024-2025,Galatasaray
Ligue des champions,2025-2026,Ath Bilbao
Ligue des champions,2025-2026,Arsenal
Ligue des champions,2025-2026,PSV
Ligue des champions,2025-2026,Union SG
Ligue des champions,2025-2026,Juventus
Ligue des champions,2025-2026,Dortmund
Ligue des champions,2025-2026,Benfica
Ligue des champions,2025-2026,Qarabag
Ligue des champions,2025-2026,Tottenham
Ligue des champions,2025-2026,Villarreal
Ligue des champions,2025-2026,Real Madrid
Ligue des champions,2025-2026,Marseille
Ligue des champions,2025-2026,Slavia Prague
Ligue des champions,2025-2026,Bodo/Glimt
Ligue des champions,2025-2026,Olympiacos
Ligue des champions,2025-2026,Paphos
Ligue des champions,2025-2026,Ajax
Ligue des champions,2025-2026,Inter
Ligue des champions,2025-2026,Liverpool
Ligue des champions,2025-2026,Ath Madrid
Ligue des champions,2025-2026,Paris SG
Ligue des champions,2025-2026,Atalanta
Ligue des champions,2025-2026,Bayern Munich
Ligue des champions,2025-2026,Chelsea
Ligue des champions,2025-2026,Copenhagen
Ligue des champions,2025-2026,Leverkusen
Ligue des champions,2025-2026,Club Brugge
Ligue des champions,2025-2026,Monaco
Ligue des champions,2025-2026,Newcastle
Ligue des champions,2025-2026,Barcelona
Ligue des champions,2025-2026,Man City
Ligue des champions,2025-2026,Napoli
Ligue des champions,2025-2026,Ein Frankfurt
Ligue des champions,2025-2026,Galatasaray
Ligue des champions,2025-2026,Sporting
Ligue des champions,2025-2026,Kairat
Ligue des champions,2025-2026,Kuopion PS
Ligue des champions,2025-2026,FC Milsami
Ligue des champions,2025-2026,FC Iberia 1999
Ligue des champions,2025-2026,Malmö FF
Ligue des champions,2025-2026,FC Noah
Ligue des champions,2025-2026,FK Budućnost Podgorica
Ligue des champions,2025-2026,FCI Levadia
Ligue des champions,2025-2026,FK RFS
Ligue des champions,2025-2026,Olimpija Ljubljana
Ligue des champions,2025-2026,The New Saints
Ligue des champions,2025-2026,KF Shkëndija 79
Ligue des champions,2025-2026,KF Drita
Ligue des champions,2025-2026,FC Differdange 03
Ligue des champions,2025-2026,Víkingur
Ligue des champions,2025-2026,Lincoln Red Imps
Ligue des champions,2025-2026,Egnatia Rrogozhine
Ligue des champions,2025-2026,Breiðablik
Ligue des champions,2025-2026,SS Virtus
Ligue des champions,2025-2026,Zrinjski Mostar
Ligue des champions,2025-2026,FK Žalgiris
Ligue des champions,2025-2026,Hamrun Spartans
Ligue des champions,2025-2026,FCSB
Ligue des champions,2025-2026,Inter Club d'Escaldes
Ligue des champions,2025-2026,PFC Ludogorets Razgrad
Ligue des champions,2025-2026,Dinamo Minsk
Ligue des champions,2025-2026,Shelbourne FC
Ligue des champions,2025-2026,Linfield FC
Ligue des champions,2025-2026,Crvena Zvezda
Ligue des champions,2025-2026,Ferencvárosi TC
Ligue des champions,2025-2026,Dinamo Kiev
Ligue des champions,2025-2026,Pafos FC
Ligue des champions,2025-2026,Maccabi Tel Aviv
Ligue des champions,2025-2026,Viktoria Plzeň
Ligue des champions,2025-2026,Servette FC
Ligue des champions,2025-2026,Slovan Bratislava
Ligue des champions,2025-2026,Lech Poznań
Ligue des champions,2025-2026,HNK Rijeka
Ligue des champions,2025-2026,Rangers FC
Ligue des champions,2025-2026,Panathinaikos
Ligue des champions,2025-2026,SK Brann
Ligue des champions,2025-2026,RB Salzburg
Ligue des champions,2025-2026,Nice
Ligue des champions,2025-2026,Feyenoord
Ligue des champions,2025-2026,Fenerbahçe
Ligue des champions,2025-2026,Sturm Graz
Ligue des champions,2025-2026,Celtic FC
Ligue des champions,2025-2026,FC Basel 1893
